postContent,likeCount
"L'ancien agent de la CIA Andrew Bustamante a expliqué pourquoi débattre est inutile.

C'est lié à la différence entre la perception et la perspective.

La perception, c'est votre manière d'interpréter le monde et le voir comme une réalité.

La perspective, c'est intégrer les perceptions des autres.

Une personne avec peu de perspective est auto-centrée, toujours en débat, limitée, et persuadée que sa perception est une réalité universelle. 

Une personne avec de la perspective ne va pas essayer d'imposer sa vision mais plutôt comprendre la perception de l'autre pour l'intégrer dans l'équation.

Les personnes avec de la perspective sont à l'écoute, curieux, avec peu d'identité, calmes et difficiles à offenser.

Selon Bustamante, seuls 2% de la population pense en perspective majoritairement. Les 98% restants sont dans la perception majoritaire.

Les gens dans la perception sont trouvés dans la critique perpétuelle, le drama, la dispute, l'offense facile, le jugement rapide, les labels.

Ceux dans la perspective posent des questions, s'intéressent, sont curieux, à l'écoute, observateurs, dans la réflexion plutôt que la réaction, dans la retenue de leur jugement.

La bonne nouvelle est que la perspective s'entraîne.

C'est ce qu'il appelle ""l'avantage informationnel"".",3192
"J'ai une idée. Ça s'appelle ""lemonade(.)ai"". Je prends des citrons, de l'eau et du sucre et je rajoute de l'intelligence artificielle.

Ensuite, je mets la lemonade à 12,50 euros la bouteille et j'en vends pas.

Je vais voir la BPI pour un prêt.
Je gagne le concours deeptech des Yvelines.
Je ne vends toujours pas la lemonade.

J'annonce le gain du concours sur LinkedIn, je suis félicité et je fais 430 likes.

Je rentre dans le classement Favikon section chômeur et je suis nommé dans le top 120 de Station F.

Je ne vends toujours pas de lemonade.

Je ferme ma boîte au tribunal de commerce.

Je fais un post LinkedIn avec les apprentissages de ma fermeture de boîte. Le post part viral.

Je me reconvertis coach LinkedIn pour entrepreneurs.

C'est mon business plan pour lemonade(.)ai.

Je cherche un CTO pour s'associer si quelqu'un connaît",1946
"Ça fait 5 ans que je suis avec un homme qui m’a connue avec RIEN. Aujourd’hui, je n’ai pas tout, mais ma vie est radicalement différente.

Il aurait pu me rejeter, me dire que j’avais trop changé, se sentir blessé dans son ego parce que mon ambition prend beaucoup de place.

Mais il me laisse briller, prendre toute la place dont j’ai besoin et réaliser mes ambitions les plus folles 🤩

Il est maladroit avec les mots et ne sait pas vraiment s’exprimer sur ce qu’il ressent, mais ses actes parlent pour lui :

👉 Il me laisse travailler jusque tard sans jamais me le reprocher
👉 Il m’écoute quand je lui raconte ma journée
👉 Il me rend des services n’importe quand, à n’importe quelle heure

Tout ça sans jamais se plaindre de moins me voir. 
Sans être jaloux de mon amant : mon business 😅

Je réalise la chance que j’ai de l’avoir. 

C’est ça un vrai partenaire de vie : quelqu’un qui vous laisse être vous à 100 % et qui ne vous le reproche pas.

Je vous souhaite de trouver quelqu’un d’aussi exceptionnel, vous le méritez. Mais pas lui, j’le garde ❤️",1311
"Dans une interview, Michael Jordan a révélé la qualité la plus importante qui a fait de lui un champion (et ça n'a rien à voir avec le terrain)

La coachabilité.

Les traits d'une personne ""coachable"" :
- Met son ego de côté
- Ouvert à la nouveauté
- Patient avec les résultats
- Met en place rapidement 
- Accepte d'être un débutant perpétuel
- Accepte la critique et connait ses faiblesses
- État d'esprit ""Tony Stark"" : Apprend quelque chose et en parle le lendemain comme s'il l'avait toujours su

Les traits d'une personne peu ""coachable"" :
- Posture défensive
- Débat au lieu d'écouter
- Susceptible sur le passé
- Réfractaire au changement
- Remet en cause l'autorité de l'expert
- Encaisse mal les points d'amélioration
- Ralentit le processus par des broutilles

Michael Jordan a dit :
""J'étais coachable, j'étais une éponge, j'étais avide d'apprendre et progresser""

Quand je vois quelqu'un, j'arrive très vite à voir sa jauge de coachabilité en fonction de sa posture. 

Je pense que le symptôme premier positif est de le fait de poser des questions et appliquer vite. 

Le symptôme premier négatif est la posture défensive.

De 0 à 100 en coachabilité, ma coach m'a mis 85/100 😎🎉

Quelle note de 0 à 100 vous-mettez vous sur la coachabilité ?",1027
"Je trouve Emmanuel Macron très bon.
Son analyse de l'Europe fait peur, mais elle est juste :

Pendant que les Américains arrivent à réutiliser des lanceurs orbitaux,
L'Europe s'enfonce dans toujours plus de normes et de régulations.

Cette frilosité européenne, bien loin de nous protéger, risque de nous rendre spectateurs dans un monde où nous devrions être acteurs.

L'innovation ne demande pas la permission.
Elle ne se fait pas dans le confort d'une bureaucratie étouffante.

L'Europe doit choisir :
Adopter le rythme de l'innovation.
Ou rester à quai pendant que d'autres écrivent l'histoire",1014
"C'est la première personne qui a incarné pour moi la culture de ""l'unapologetic""

La définition de ""unapologetic"" : Qui ne s'excuse pas malgré l'outrage provoqué par ses propos.

Je m'étais fait la remarque en regardant 4 films avec Maggie Smith : Les rôles qu'elle joue sont sûrement proches de sa personnalité dans la vie.

Et elle l'a confessé dans une interview où elle dit qu'elle ne supporte pas les imbéciles et que les imbéciles ne la supportent pas, et que c'est pour ça qu'elle aime bien jouer les rôles de vieille dame acariâtre.

Dans Downtown Abbey, chacune des répliques de son personnage Violet sont scandaleuses, mais personne ne lui fait de reproche car ils savent qu'elle ne s'excuse jamais.

Quand on lui demande pourquoi elle n'aime pas avoir tort, elle réplique que ""elle ne sait pas car la sensation ne lui est pas familière"".

Une réplique que j'ai adoré dans un monde actuel où il faut s'excuser de tout tout le temps si ce qu'on dit est intolérable (peu importe si c'est vrai ou non).

Dans Harry Potter, son personnage Professeur Mcgonagall dit "" Vous pouvez prononcer Voldemort, car il vous tuera quoiqu'il arrive"".

Dans ""Voyages avec ma tante"", quand son neveu lui demande pourquoi ils voyagent en 1ère et que c'est un gâchis d'argent,  elle répond que elle ne le fait pas pour le champagne et le caviar mais qu'elle s'autorise à se laisser aller par l'extravagance.

Pourtant, dans tous ses rôles, malgré le côté ""unapologetic"", il ressort des valeurs anciennes très fortes comme le courage, la droiture, la sincérité, la discipline, la noblesse, l'honneur. Des valeurs anciennes presque chevaleresques qui sont en perdition aujourd'hui.

Quand Maggie Smith a annoncé qu'elle voulait faire du théâtre, sa famille lui a mis des bâtons dans les roues en lui disant qu'elle n'était pas assez belle. Elle n'a pas écouté, a persévéré et a fini anoblie par la reine Elizabeth II.

Il y a dans tous ses rôles un côté ""fu*k you"" dans une société qui cherche de plus en plus à contrôler ce qu'on dit et ce qu'on pense.

Donnez-nous davantage de Maggie Smith et moins de frustrés enragés.",805
"Ma maman est mon héroïne, elle a repris ses études à trois reprises : à 30 ans, 40 ans et à 50 ans.
 Aujourd’hui vous pouvez m’aider à faire en sorte qu’elle trouve un poste en institut de formation IFSI et IFAS🔥

Depuis 2002, elle travaille à l’hôpital, et elle travaille BEAUCOUP.

À ce moment-là, j’ai 3 ans, et ma mère bataille entre les journées à rallonge et les nuits fatigantes…

Mais elle m’élève comme une reine, me fait faire des activités tous les ans et me transmet ses valeurs.

C’est une aide-soignante hors pair, une infirmière digne de ce nom, mais surtout une maman incroyable ❤️

Il y a quelques mois elle a obtenu son année Master 2 Sciences de l’Education (RISO), parce qu’elle souhaite pivoter et devenir formatrice. Elle adore son métier et veut le transmettre aux autres :

🚨 Aujourd’hui elle souhaite accompagner des étudiants partager ses connaissances sur son métier passionnant et difficile à la fois.

C’est une femme très organisée, qui prend soin des gens qui l’entoure et qui a à cœur de transmettre tout ce qu’elle sait.

👉 Si vous avez des opportunités pour qu’elle ait un poste de formation en IFSI ou IFAS, vous pouvez prendre contact avec elle par mail : sandgianni@gmail.com.

📍 Secteur Montpellier

Ou prendre contact avec Sandrine Giannitrapani sur LinkedIn.

Et si vous n’avez pas de piste, un petit like et un commentaire sera le bienvenue pour pousser ce poste à votre réseau. 

Comme elle aime le dire avec la citation de Merieu : « Enseigner consiste à fournir à
l'apprenant un maximum d'opportunités pour qu'il puisse progresser lui-même sur le chemin de la connaissance et renforcer sa confiance en lui »

PS : Vous retrouverez son CV dans les commentaires 👇",767
"1 journée en présentiel :
- 6:45 : Réveil brutal la tête dans le c*l
- 7:00 : Café avalé en 5 min, pas le temps pour un vrai petit-dej
- 7:15 : On s'habille vite fait avec son costume repassé la veille à 23h
- 7:30 : Métro bondé et/ou embouteillages : du bruit partout, c'est la m*rde
- 8:30 : Arrivée au bureau, openspace bruyant, stress ambiant. La matinée est rythmée par des interruptions incessantes du type ""t'as 5 min pour X ?????""
- 12:00 : Pause déjeuner de 2h dans le bruit où il est de bon ton de rire des blagues pourries de ses collègues bienveillants
- 14:00 : Après-midi rythmée par plus de réunions que de travail réel (mais on s'est bien fait voir par le boss donc c'est bon : mission accomplie)
- 16:00 : Pause café devant la machine (capsule Nespresso claquée au sol)
- 16:15 : Fruit de type banane devant la corbeille (ou pomme car tous les autres fruits ont pourri durant la journée ou ont été mangés par Christelle la CFO — Chief Fruits Officer)
- 19:00 : Trajet retour, fatigue pesante, nouvelle dose de stress, rebelote
- 20:30 : Dîner, puis quelques heures épuisées devant la télé

1 journée en télétravail :
- 7:30 : Le réveil sonne, on snooze 3 fois
- 8:00 : Réveil doux après une bonne nuit de sommeil
- 8:15 : Petit-dej tranquille, on démarre la journée sans pression
- 8:45 : On met son sweat à capuche Angular + casquette Shelby
- 9:00 : Travail concentré depuis le confort de son espace dédié
- 11:00 : Pause café (grains arabica Equateur + machine De'Longhi)
- 12:00 : Pause déjeuner au calme (+ une petite sieste)
- 13:00 : Travail en deep work, productivité à son apogée
- 15:00 : Petite balade à l'extérieur, on profite de la nature
- 17:00 : Fin de journée, temps pour soi. Sport, passion, famille
- 19:00 : Dîner tranquille, soirée devant un bon film ou un bon livre

La dure réalité :
- En présentiel, vous perdez des heures en transport et en interruptions
- En remote, chaque minute est un investissement en vous

À l'heure où toutes les boîtes de la tech rappellent tout le monde sur site en 100% présentiel (c'est très grave ce qu'il se passe), le vrai choix n'est pas entre bureau et maison, mais entre un monde de contraintes et un monde de libertés",760
"IL ÉTAIT TEMPS 🤩 Mon livre sort enfin le 19 septembre 2024.


J’en suis fière, mais il m’a pris presque 1 an à écrire, à structurer… 
J’y ai passé des nuits entières, et c’était un exercice aussi très douloureux.

J’y ai mis toutes mes méthodes, mais pas que. 
Je parle beaucoup de moi, qui je suis, ma famille. 
Je vous raconte des choses que je n’ai jamais dites en ligne.

Franchement, je ne sais pas si je recommencerai de sitôt, l’écriture était un enfer 😅

Mais j’espère que ça va vous plaire, c’est sans filtre, avec absolument tout ce que je sais.

Le lien pour précommander sera bientôt disponible, je vous tiendrai au courant ❤️

Vous pensez quoi de ma couverture ?",717
"Je fais des crises de boulimie en permanence et ces 3 dernières années j’ai pris +20kg.

Je lutte pour ne pas prendre de poids mais c’est tellement plus fort que moi 💔

Je ne vous en ai jamais parlé mais dans mon cerveau c’est un vrai bordel.

Je ne me sens plus bien dans mon corps, plus à ma place, comme si ce n’était pas le mien et qu’il ne m’appartenait pas.

Je ne me reconnais pas dans ce corps gros.

J’en ai marre qu’on me fasse des remarques quand je me ressers à manger.

Marre qu’on me dise “Ah, tu prends un dessert ?”

Je lutte contre mon addiction au sucre depuis des années, et dès que j’arrive à m’en priver je retombe aussitôt dedans, et de façons encore pire qu’avant.

J’ai (presque) tout essayé :

👉 Me laisser crever la dalle.

👉 Ne manger qu’un repas par jour.

👉 Arrêter complètement le sucre.

Aucune de ces options n’est la bonne méthode.

Je perds, puis je reprends aussitôt.

Je cohabite donc depuis plusieurs années avec un corps que je déteste. 

Je ne me met plus en maillot devant les autres pendant l’été.

Je rachète en permanence des jeans parce que je les casse.

Depuis que j’ai monté ma boîte j’ai priorisé mon travail à tout le reste : et voilà le résultat 💔

Pas de CTA. Pas de lien cliquable. Juste un post cri du cœur pour vous dire que vous n’êtes pas seul.",698
